Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Author,Review
3,3,64114d13ef7aa875ca3831a5,64114d13ef7aa872ca383167,Tue Aug 30 2022 15:41:05 GMT+0000 (Coordinated Universal Time),Mon Sep 12 2022 16:10:55 GMT+0000 (Coordinated Universal Time),,- Austin bilby,Awesome company top notch customer service very friendly people and very fast I’ve ordered multiple hoses from these guy’s and they always jump right on it & get it done so you don’t have to wait. I will always do business with them for anything my company needs and I would highly recommend them to anyone who needs hoses or supplies for your job. If you need anything go see these guys I promise you won’t be disappointed and you will always come back.
30,30,64114d13ef7aa875ca3831a5,64114d13ef7aa855d93832c3,Tue Aug 30 2022 15:41:06 GMT+0000 (Coordinated Universal Time),Tue Aug 30 2022 15:41:06 GMT+0000 (Coordinated Universal Time),Wed Jan 25 2023 15:47:41 GMT+0000 (Coordinated Universal Time),- Morgan Troxell,I work for Poeboys Salvage. Anytime we have a problem with a hose we always choose American Hose. They are definitely the best. They are professional and get the job done in a timely manner. Thank you guys for being the best.
31,31,64114d13ef7aa875ca3831a5,64114d13ef7aa881333833f2,Tue Aug 30 2022 15:41:06 GMT+0000 (Coordinated Universal Time),Tue Aug 30 2022 15:41:06 GMT+0000 (Coordinated Universal Time),Wed Jan 25 2023 15:47:41 GMT+0000 (Coordinated Universal Time),- Sheri Owens,I wish I had got his name. But the man at the counter was fabulous. Spent a lot of time with me to get a connection fixed. We'll definitely go there for any future needs
32,32,64114d13ef7aa875ca3831a5,64114d13ef7aa8dd2f383364,Tue Aug 30 2022 15:41:06 GMT+0000 (Coordinated Universal Time),Tue Aug 30 2022 15:41:06 GMT+0000 (Coordinated Universal Time),Wed Jan 25 2023 15:47:41 GMT+0000 (Coordinated Universal Time),- Clayton Black,Excellent experience all the way around. Friendly service and conversation with the Owner. Hydraulic hoses made on Saturday while I was waiting.
33,33,64114d13ef7aa875ca3831a5,64114d13ef7aa8dd7d3832d9,Tue Aug 30 2022 15:41:06 GMT+0000 (Coordinated Universal Time),Tue Aug 30 2022 15:41:06 GMT+0000 (Coordinated Universal Time),Wed Jan 25 2023 15:47:41 GMT+0000 (Coordinated Universal Time),- DAVID Chandler,"Fantastic place to get any hose or hose fixture, connector that you may need! The guys behind the counter are most helpful and knowledgeable! Drinks and snacks are offered for free while you are waiting 😉"
34,34,64114d13ef7aa875ca3831a5,64114d13ef7aa8c5323833b0,Tue Aug 30 2022 15:41:06 GMT+0000 (Coordinated Universal Time),Tue Aug 30 2022 15:41:06 GMT+0000 (Coordinated Universal Time),Wed Jan 25 2023 15:47:41 GMT+0000 (Coordinated Universal Time),- John C,Bailed me out of a tremendous problem. Excellent customer service. Highly recommend.
35,35,64114d13ef7aa875ca3831a5,64114d13ef7aa8342a383343,Tue Aug 30 2022 15:41:06 GMT+0000 (Coordinated Universal Time),Tue Aug 30 2022 15:41:06 GMT+0000 (Coordinated Universal Time),Wed Jan 25 2023 15:47:41 GMT+0000 (Coordinated Universal Time),- Bryan Bull Jr.,Excellent service!  Nick and his team are very knowledgeable and go above and beyond.  Highly recommend!
36,36,64114d13ef7aa875ca3831a5,64114d13ef7aa824f9383186,Tue Aug 30 2022 15:41:06 GMT+0000 (Coordinated Universal Time),Tue Aug 30 2022 15:41:06 GMT+0000 (Coordinated Universal Time),Wed Jan 25 2023 15:47:41 GMT+0000 (Coordinated Universal Time),- tyler hun,amazing customer service very family oriented feel and appriciates my business and always has whatever i need and great with answering any questions i have. my go to spot!
37,37,64114d13ef7aa875ca3831a5,64114d13ef7aa878583833b6,Tue Aug 30 2022 15:41:06 GMT+0000 (Coordinated Universal Time),Tue Aug 30 2022 15:41:06 GMT+0000 (Coordinated Universal Time),Wed Jan 25 2023 15:47:41 GMT+0000 (Coordinated Universal Time),- Richard Dennis,These guys are awesome if they don’t have it they will find it and they have snacks which is a bonus
38,38,64114d13ef7aa875ca3831a5,64114d13ef7aa835af383360,Tue Aug 30 2022 15:41:06 GMT+0000 (Coordinated Universal Time),Tue Aug 30 2022 15:41:06 GMT+0000 (Coordinated Universal Time),Wed Jan 25 2023 15:47:41 GMT+0000 (Coordinated Universal Time),- Cole Hutchinson,"Great people, great service and great products. Always ready to go above and beyond to get you out of a pinch."
39,39,64114d13ef7aa875ca3831a5,64114d13ef7aa860b838335f,Tue Aug 30 2022 15:41:06 GMT+0000 (Coordinated Universal Time),Tue Aug 30 2022 15:41:06 GMT+0000 (Coordinated Universal Time),Wed Jan 25 2023 15:47:41 GMT+0000 (Coordinated Universal Time),- Benjamin Settles,"Super nice guys. Always take care of us and do a great job! Couldn’t say enough nice things about them, super helpful!"
4,4,64114d13ef7aa875ca3831a5,64114d13ef7aa8e571383165,Tue Aug 30 2022 15:41:05 GMT+0000 (Coordinated Universal Time),Tue Aug 30 2022 15:41:05 GMT+0000 (Coordinated Universal Time),Wed Jan 25 2023 15:47:41 GMT+0000 (Coordinated Universal Time),- Kaleb Krogen,"I take all my hose repairs the them, fast, friendly, and do what it takes to get what you need!!!"
40,40,64114d13ef7aa875ca3831a5,64114d13ef7aa8363a38338a,Tue Aug 30 2022 15:41:07 GMT+0000 (Coordinated Universal Time),Tue Aug 30 2022 15:41:07 GMT+0000 (Coordinated Universal Time),Wed Jan 25 2023 15:47:41 GMT+0000 (Coordinated Universal Time),- Harley Kaiser,"Very friendly, very helpful with everything I need, this is definitely my go to shop ! Nick and his team are awesome."
41,41,64114d13ef7aa875ca3831a5,64114d13ef7aa8a7053832f1,Tue Aug 30 2022 15:41:07 GMT+0000 (Coordinated Universal Time),Tue Aug 30 2022 15:41:07 GMT+0000 (Coordinated Universal Time),Wed Jan 25 2023 15:47:41 GMT+0000 (Coordinated Universal Time),- Mike Merrill,Great place. Always goes out of their way to help.
42,42,64114d13ef7aa875ca3831a5,64114d13ef7aa8a4003833f3,Tue Aug 30 2022 15:41:07 GMT+0000 (Coordinated Universal Time),Tue Aug 30 2022 15:41:07 GMT+0000 (Coordinated Universal Time),Wed Jan 25 2023 15:47:41 GMT+0000 (Coordinated Universal Time),- Herb Smith,"Extremely knowledgeable staff! I had know idea what I needed to fix my problem, but they did! I was in and out with the correct parts on my first visit! Highly recommend checking these guys out!"
43,43,64114d13ef7aa875ca3831a5,64114d13ef7aa8879d3833b1,Tue Aug 30 2022 15:41:07 GMT+0000 (Coordinated Universal Time),Tue Aug 30 2022 15:41:07 GMT+0000 (Coordinated Universal Time),Wed Jan 25 2023 15:47:41 GMT+0000 (Coordinated Universal Time),- Irina Kulikov,Great service ! So quick and painless! Will be using again in the future ⭐️⭐️⭐️⭐️⭐️
44,44,64114d13ef7aa875ca3831a5,64114d13ef7aa802963831ac,Tue Aug 30 2022 15:41:08 GMT+0000 (Coordinated Universal Time),Tue Aug 30 2022 15:41:08 GMT+0000 (Coordinated Universal Time),Wed Jan 25 2023 15:47:41 GMT+0000 (Coordinated Universal Time),- Clayton Bennett,Nick up here is amazing quick and very professional will keep coming back great service
